DATE,POPTHM
1/1/1959,175818
2/1/1959,176044
3/1/1959,176274
4/1/1959,176503
5/1/1959,176723
6/1/1959,176954
7/1/1959,177208
8/1/1959,177479
9/1/1959,177755
10/1/1959,178026
11/1/1959,178273
12/1/1959,178504
1/1/1960,178925
2/1/1960,179326
3/1/1960,179707
4/1/1960,180067
5/1/1960,180408
6/1/1960,180728
7/1/1960,181028
8/1/1960,181308
9/1/1960,181567
10/1/1960,181807
11/1/1960,182026
12/1/1960,182225
1/1/1961,182404
2/1/1961,182631
3/1/1961,182867
4/1/1961,183105
5/1/1961,183335
6/1/1961,183572
7/1/1961,183825
8/1/1961,184101
9/1/1961,184384
10/1/1961,184654
11/1/1961,184900
12/1/1961,185129
1/1/1962,185347
2/1/1962,185551
3/1/1962,185762
4/1/1962,185981
5/1/1962,186201
6/1/1962,186426
7/1/1962,186664
8/1/1962,186924
9/1/1962,187191
10/1/1962,187449
11/1/1962,187685
12/1/1962,187905
1/1/1963,188113
2/1/1963,188300
3/1/1963,188484
4/1/1963,188685
5/1/1963,188904
6/1/1963,189130
7/1/1963,189369
8/1/1963,189629
9/1/1963,189895
10/1/1963,190147
11/1/1963,190369
12/1/1963,190570
1/1/1964,190763
2/1/1964,190953
3/1/1964,191146
4/1/1964,191346
5/1/1964,191557
6/1/1964,191778
7/1/1964,192010
8/1/1964,192254
9/1/1964,192504
10/1/1964,192739
11/1/1964,192943
12/1/1964,193131
1/1/1965,193308
2/1/1965,193467
3/1/1965,193625
4/1/1965,193799
5/1/1965,193988
6/1/1965,194195
7/1/1965,194416
8/1/1965,194645
9/1/1965,194879
10/1/1965,195096
11/1/1965,195284
12/1/1965,195456
1/1/1966,195614
2/1/1966,195760
3/1/1966,195915
4/1/1966,196089
5/1/1966,196275
6/1/1966,196466
7/1/1966,196661
8/1/1966,196873
9/1/1966,197096
10/1/1966,197303
11/1/1966,197485
12/1/1966,197654
1/1/1967,197814
2/1/1967,197965
3/1/1967,198122
4/1/1967,198287
5/1/1967,198452
6/1/1967,198627
7/1/1967,198812
8/1/1967,199012
9/1/1967,199212
10/1/1967,199405
11/1/1967,199578
12/1/1967,199733
1/1/1968,199864
2/1/1968,199988
3/1/1968,200132
4/1/1968,200285
5/1/1968,200449
6/1/1968,200621
7/1/1968,200802
8/1/1968,200997
9/1/1968,201193
10/1/1968,201378
11/1/1968,201544
12/1/1968,201691
1/1/1969,201821
2/1/1969,201952
3/1/1969,202092
4/1/1969,202246
5/1/1969,202419
6/1/1969,202592
7/1/1969,202777
8/1/1969,202984
9/1/1969,203196
10/1/1969,203401
11/1/1969,203588
12/1/1969,203762
1/1/1970,203929
2/1/1970,204082
3/1/1970,204246
4/1/1970,204504
5/1/1970,204719
6/1/1970,204941
7/1/1970,205174
8/1/1970,205418
9/1/1970,205664
10/1/1970,205906
11/1/1970,206131
12/1/1970,206352
1/1/1971,206567
2/1/1971,206762
3/1/1971,206960
4/1/1971,207163
5/1/1971,207361
6/1/1971,207562
7/1/1971,207771
8/1/1971,207998
9/1/1971,208230
10/1/1971,208450
11/1/1971,208648
12/1/1971,208829
1/1/1972,208989
2/1/1972,209137
3/1/1972,209299
4/1/1972,209466
5/1/1972,209635
6/1/1972,209811
7/1/1972,209986
8/1/1972,210177
9/1/1972,210379
10/1/1972,210568
11/1/1972,210739
12/1/1972,210903
1/1/1973,211053
2/1/1973,211187
3/1/1973,211337
4/1/1973,211499
5/1/1973,211662
6/1/1973,211828
7/1/1973,212001
8/1/1973,212191
9/1/1973,212382
10/1/1973,212555
11/1/1973,212710
12/1/1973,212859
1/1/1974,213003
2/1/1974,213143
3/1/1974,213286
4/1/1974,213437
5/1/1974,213600
6/1/1974,213770
7/1/1974,213948
8/1/1974,214144
9/1/1974,214349
10/1/1974,214538
11/1/1974,214704
12/1/1974,214857
1/1/1975,214998
2/1/1975,215132
3/1/1975,215276
4/1/1975,215438
5/1/1975,215646
6/1/1975,215871
7/1/1975,216084
8/1/1975,216294
9/1/1975,216490
10/1/1975,216679
11/1/1975,216851
12/1/1975,217013
1/1/1976,217172
2/1/1976,217315
3/1/1976,217455
4/1/1976,217607
5/1/1976,217773
6/1/1976,217948
7/1/1976,218134
8/1/1976,218337
9/1/1976,218542
